STUDENT_ID PROJECT_ID RANK
1 9426 1
1 10471 2
1 9265 3
1 9619 4
1 9306 5
2 9911 1
2 9426 2
2 9688 3
2 9105 4
2 9968 5
3 10767 1
4 9166 1
4 10037 2
4 9145 3
4 9807 4
4 10046 5
5 9996 1
5 10327 2
5 10015 3
5 9406 4
5 9426 5
6 10000 1
6 10013 2
6 8826 3
6 10042 4
6 9789 5
7 10587 1
7 10062 2
7 9989 3
7 9265 4
7 9205 5
8 9426 1
8 9911 2
8 9688 3
8 10508 4
8 9105 5
9 10607 1
9 9205 2
9 9982 3
9 9446 4
9 9265 5
10 10088 1
10 9347 2
10 10041 3
10 10471 4
10 9996 5
11 10044 1
11 9612 2
11 10207 3
11 10467 4
11 9627 5
12 9996 1
12 10147 2
12 10058 3
12 9992 4
12 9968 5
13 10607 1
13 9968 2
13 9426 3
13 9911 4
13 9991 5
14 9667 1
14 9689 2
14 9989 3
14 9265 4
14 9787 5
15 10253 1
15 10647 2
15 10648 3
15 10187 4
15 9365 5
16 9246 1
16 9827 2
16 9667 3
16 9624 4
16 9968 5
17 10022 1
17 10030 2
17 9912 3
17 9613 4
17 9205 5
18 10327 1
18 10328 2
18 8825 3
18 9365 4
18 9989 5
19 9999 1
19 10012 2
19 9689 3
19 9007 4
19 10508 5
20 9426 1
20 9205 2
20 9105 3
20 9248 4
20 9996 5
21 10667 1
22 9528 1
22 8826 2
22 10247 3
22 10001 4
22 9788 5
23 9007 1
23 9667 2
23 10527 3
23 9624 4
23 10017 5
24 9667 1
24 9999 2
24 9689 3
24 9405 4
24 10248 5
25 9426 1
25 9265 2
25 10472 3
25 10030 4
25 10088 5
26 9246 1
26 9245 2
26 9999 3
26 9982 4
26 9265 5
27 10271 1
27 9426 2
27 9365 3
27 10088 4
27 9989 5
28 10016 1
28 10017 2
28 10025 3
28 10127 4
28 10527 5
29 10347 1
30 9667 1
30 9689 2
30 9225 3
30 10248 4
30 10187 5
31 9993 1
31 9992 2
31 10427 3
31 9426 4
31 9205 5
32 9992 1
32 9912 2
32 9489 3
32 9426 4
32 9993 5
33 10001 1
33 10000 2
33 10007 3
33 10271 4
33 9407 5
34 9827 1
34 9982 2
34 9245 3
34 9624 4
34 9976 5
35 9209 1
35 10607 2
35 9688 3
35 9827 4
35 9667 5
36 9972 1
36 9225 2
36 9647 3
36 10025 4
36 9689 5
37 9912 1
37 9827 2
37 9245 3
37 10567 4
37 9968 5
38 9245 1
38 9246 2
38 9827 3
38 9265 4
38 10001 5
39 10022 1
39 9688 2
39 9624 3
39 10048 4
40 9246 1
40 9827 2
40 9245 3
40 9265 4
40 10015 5
41 9667 1
41 10030 2
41 10022 3
41 10347 4
41 9787 5
42 9426 1
42 10107 2
42 9999 3
42 9993 4
43 10807 1
44 9667 1
44 9827 2
44 9689 3
44 9405 4
44 9246 5
45 9787 1
45 9667 2
45 9624 3
45 10470 4
45 9265 5
46 9667 1
46 9565 2
46 9206 3
46 10527 4
46 9787 5
47 9226 1
47 9225 2
47 9005 3
47 9007 4
47 8885 5
48 10064 1
48 10022 2
48 9991 3
48 10023 4
48 10427 5
49 9545 1
49 9208 2
49 9619 3
49 9728 4
49 9206 5
50 9265 1
50 9887 2
50 10567 3
50 9624 4
50 9667 5
51 9208 1
51 9545 2
51 10687 3
51 10567 4
51 9912 5
52 10567 1
52 10023 2
52 10271 3
52 10025 4
52 9489 5
53 9006 1
53 9105 2
53 10547 3
53 10023 4
53 10027 5
54 9624 1
54 9245 2
54 9982 3
54 9667 4
54 9827 5
55 9426 1
55 10472 2
55 10267 3
55 9265 4
55 10527 5
56 10127 1
56 9993 2
56 9912 3
56 9426 4
56 8646 5
57 10259 1
57 10055 2
57 9206 3
57 9007 4
57 9911 5
58 10268 1
58 8985 2
58 10527 3
58 9989 4
58 9205 5
59 10249 1
59 9249 2
59 10011 3
59 10009 4
59 10248 5
60 9992 1
60 9993 2
60 9989 3
60 9205 4
60 9209 5
61 9627 1
61 9249 2
61 10187 3
61 10249 4
61 10248 5
62 10032 1
62 10327 2
62 9887 3
62 9007 4
62 9506 5
63 10347 1
64 10347 1
65 9565 1
65 9667 2
65 9728 3
65 9624 4
65 9827 5
66 10687 1
66 9728 2
66 9984 3
66 9389 4
66 9265 5
67 9426 1
67 9245 2
67 9265 3
67 10472 4
67 9827 5
68 9827 1
68 9245 2
68 9265 3
68 10472 4
68 9426 5
69 9827 1
69 9246 2
69 9245 3
69 9976 4
69 9624 5
70 9624 1
70 9667 2
70 9827 3
70 9245 4
70 9405 5
71 9976 1
71 9827 2
71 9246 3
71 10064 4
71 10527 5
72 10030 1
72 10022 2
72 9426 3
72 10187 4
72 10472 5
73 9999 1
73 9976 2
73 9624 3
73 9245 4
73 10567 5
74 10347 1
75 10046 1
75 10064 2
75 9688 3
75 9999 4
75 10012 5
76 9465 1
76 9947 2
76 10055 3
76 9927 4
76 9386 5
77 10046 1
77 10064 2
77 9688 3
77 9999 4
77 10012 5
78 9887 1
78 9426 2
78 8825 3
78 10472 4
78 9967 5
79 9245 1
79 9827 2
79 9265 3
79 9246 4
79 10001 5
80 10010 1
80 10009 2
80 10127 3
80 9978 4
80 9983 5
81 9999 1
81 9565 2
81 9245 3
81 9976 4
81 9827 5
82 9827 1
82 9246 2
82 8985 3
82 9245 4
82 9976 5
83 9887 1
83 10332 2
83 10030 3
83 8885 4
83 9912 5
84 9887 1
84 10332 2
84 10030 3
84 8885 4
84 9912 5
85 9689 1
85 10039 2
85 10127 3
85 9206 4
85 9968 5
86 9245 1
86 9976 2
86 9246 3
86 9968 4
86 10527 5
87 10013 1
87 10042 2
87 10328 3
87 10331 4
87 9306 5
88 10347 1
89 9689 1
89 10025 2
89 10547 3
89 10127 4
89 10039 5
90 10127 1
